County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,Republican,,Other,,Total,,,,,

Apache,44,,MAR 2018,,,"28,771",,,55,154,"8,825",,"12,812",,"50,617",,,,,
,44,,P.E. 2018,,,"27,385",,,46,147,"8,554",,"12,229",,"48,361",,,,,
,44,,G.E. 2018,,,"28,223",,,47,154,"8,960",,"12,416",,"49,800",,,,,

Cochise,49,,MAR 2018,,,"18,730",,,130,546,"26,960",,"23,322",,"69,688",,,,,
,49,,P.E. 2018,,,"18,589",,,114,558,"26,979",,"23,202",,"69,442",,,,,
,49,,G.E. 2018,,,"18,963",,,110,542,"27,590",,"23,649",,"70,854",,,,,

Coconino,71,,MAR 2018,,,"32,608",,,304,843,"21,086",,"27,735",,"82,576",,,,,
,71,,P.E. 2018,,,"30,512",,,249,742,"19,635",,"24,445",,"75,583",,,,,
,71,,G.E. 2018,,,"33,996",,,279,794,"21,123",,"27,047",,"83,239",,,,,

Gila,39,,MAR 2018,,,"9,123",,,31,180,"12,974",,"8,531",,"30,839",,,,,
,39,,P.E. 2018,,,"8,662",,,29,175,"12,298",,"7,722",,"28,886",,,,,
,39,,G.E. 2018,,,"8,693",,,27,179,"12,881",,"7,993",,"29,773",,,,,

Graham,22,,MAR 2018,,,"5,498",,,13,80,"8,430",,"4,581",,"18,602",,,,,
,22,,P.E. 2018,,,"5,076",,,9,82,"8,066",,"4,152",,"17,385",,,,,
,22,,G.E. 2018,,,"5,164",,,11,91,"8,330",,"4,310",,"17,906",,,,,

Greenlee,8,,MAR 2018,,,"1,975",,,3,36,"1,423",,"1,369",,"4,806",,,,,
,8,,P.E. 2018,,,"1,857",,,3,32,"1,345",,"1,248",,"4,485",,,,,
,8,,G.E. 2018,,,"1,857",,,4,32,"1,369",,"1,273",,"4,535",,,,,

La Paz,11,,MAR 2018,,,"2,222",,,15,39,"3,823",,"3,574",,"9,673",,,,,
,11,,P.E. 2018,,,"2,231",,,12,38,"3,908",,"3,625",,"9,814",,,,,
,11,,G.E. 2018,,,"2,272",,,13,39,"4,025",,"3,699",,"10,048",,,,,

Maricopa,738,,MAR 2018,,,"626,489",,,"3,776","20,621","782,999",,"759,506",,"2,193,391",,,,,
,743,,P.E. 2018,,,"649,268",,,"3,736","20,949","790,246",,"765,519",,"2,229,718",,,,,
,743,,G.E. 2018,,,"666,835",,,"3,605","20,970","796,075",,"767,111",,"2,254,596",,,,,

Mohave,24,,MAR 2018,,,"20,571",,,153,750,"53,939",,"44,779",,"120,192",,,,,
,24,,P.E. 2018,,,"20,191",,,139,710,"54,594",,"43,205",,"118,839",,,,,
,24,,G.E. 2018,,,"19,660",,,136,679,"54,932",,"40,939",,"116,346",,,,,

Navajo,14,,MAR 2018,,,"25,234",,,70,415,"21,246",,"17,909",,"64,874",,,,,
,14,,P.E. 2018,,,"24,136",,,77,400,"20,587",,"16,958",,"62,158",,,,,
,14,,G.E. 2018,,,"24,459",,,79,387,"21,103",,"17,006",,"63,034",,,,,

Pima,249,,MAR 2018,,,"195,874",,,"1,551","4,064","157,008",,"158,169",,"516,666",,,,,
,248,,P.E. 2018,,,"200,943",,,"1,485","4,100","157,706",,"160,746",,"524,980",,,,,
,249,,G.E. 2018,,,"214,319",,,"1,485","4,360","165,240",,"172,128",,"557,532",,,,,

Pinal,102,,MAR 2018,,,"52,183",,,279,"1,557","68,620",,"74,915",,"197,554",,,,,
,102,,P.E. 2018,,,"51,623",,,272,"1,493","68,286",,"71,472",,"193,146",,,,,
,102,,G.E. 2018,,,"54,115",,,287,"1,581","71,998",,"74,098",,"202,079",,,,,

Santa Cruz,24,,MAR 2018,,,"13,850",,,46,161,"4,384",,"8,986",,"27,427",,,,,
,24,,P.E. 2018,,,"14,189",,,67,152,"4,614",,"8,742",,"27,764",,,,,
,24,,G.E. 2018,,,"14,242",,,48,148,"4,571",,"9,229",,"28,238",,,,,

Yavapai,45,,MAR 2018,,,"27,664",,,293,"1,058","62,446",,"44,876",,"136,337",,,,,
,45,,P.E. 2018,,,"27,846",,,273,"1,041","63,229",,"44,081",,"136,470",,,,,
,45,,G.E. 2018,,,"29,003",,,272,"1,057","65,421",,"44,971",,"140,724",,,,,

Yuma,44,,MAR 2018,,,"29,518",,,63,568,"24,831",,"32,155",,"87,135",,,,,
,44,,P.E. 2018,,,"29,072",,,58,558,"24,248",,"31,370",,"85,306",,,,,
,44,,G.E. 2018,,,"29,944",,,60,570,"24,714",,"32,169",,"87,457",,,,,

Totals:,"1,484",,MAR 2018,,,"1,090,310",,,"6,782","31,072","1,258,994",,"1,223,219",,"3,610,377",,,,,
,"1,488",,P.E. 2018,,,"1,111,580",,,"6,569","31,177","1,264,295",,"1,218,716",,"3,632,337",,,,,
,"1,489",,G.E. 2018,,,"1,151,745",,,"6,463","31,583","1,288,332",,"1,238,038",,"3,716,161",,,,,

Percentages:,,,MAR 2018,,,30.20,,,0.19,0.86,34.87,,33.88,,,,,,,
