ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
8/28/2018	REP	Republican	USS	United States Senator	ALA	Alachua			63	63	De La Fuente	Roque	'Rocky'	2185
8/28/2018	REP	Republican	USS	United States Senator	BAK	Baker			9	9	De La Fuente	Roque	'Rocky'	244
8/28/2018	REP	Republican	USS	United States Senator	BAY	Bay			44	44	De La Fuente	Roque	'Rocky'	1771
8/28/2018	REP	Republican	USS	United States Senator	BRA	Bradford			14	14	De La Fuente	Roque	'Rocky'	306
8/28/2018	REP	Republican	USS	United States Senator	BRE	Brevard			174	174	De La Fuente	Roque	'Rocky'	7774
8/28/2018	REP	Republican	USS	United States Senator	BRO	Broward			577	577	De La Fuente	Roque	'Rocky'	9038
8/28/2018	REP	Republican	USS	United States Senator	CAL	Calhoun			11	11	De La Fuente	Roque	'Rocky'	113
8/28/2018	REP	Republican	USS	United States Senator	CHA	Charlotte			67	67	De La Fuente	Roque	'Rocky'	2938
8/28/2018	REP	Republican	USS	United States Senator	CIT	Citrus			0	0	De La Fuente	Roque	'Rocky'	2405
8/28/2018	REP	Republican	USS	United States Senator	CLA	Clay			0	0	De La Fuente	Roque	'Rocky'	2527
8/28/2018	REP	Republican	USS	United States Senator	CLL	Collier			59	59	De La Fuente	Roque	'Rocky'	3428
8/28/2018	REP	Republican	USS	United States Senator	CLM	Columbia			22	22	De La Fuente	Roque	'Rocky'	734
8/28/2018	REP	Republican	USS	United States Senator	DES	Desoto			15	15	De La Fuente	Roque	'Rocky'	272
8/28/2018	REP	Republican	USS	United States Senator	DIX	Dixie			10	10	De La Fuente	Roque	'Rocky'	220
8/28/2018	REP	Republican	USS	United States Senator	DUV	Duval			199	199	De La Fuente	Roque	'Rocky'	6929
8/28/2018	REP	Republican	USS	United States Senator	ESC	Escambia			0	0	De La Fuente	Roque	'Rocky'	4824
8/28/2018	REP	Republican	USS	United States Senator	FLA	Flagler			25	25	De La Fuente	Roque	'Rocky'	1078
8/28/2018	REP	Republican	USS	United States Senator	FRA	Franklin			8	8	De La Fuente	Roque	'Rocky'	238
8/28/2018	REP	Republican	USS	United States Senator	GAD	Gadsden			25	25	De La Fuente	Roque	'Rocky'	213
8/28/2018	REP	Republican	USS	United States Senator	GIL	Gilchrist			10	10	De La Fuente	Roque	'Rocky'	304
8/28/2018	REP	Republican	USS	United States Senator	GLA	Glades			13	13	De La Fuente	Roque	'Rocky'	98
8/28/2018	REP	Republican	USS	United States Senator	GUL	Gulf			0	0	De La Fuente	Roque	'Rocky'	263
8/28/2018	REP	Republican	USS	United States Senator	HAM	Hamilton			8	8	De La Fuente	Roque	'Rocky'	100
8/28/2018	REP	Republican	USS	United States Senator	HAR	Hardee			12	12	De La Fuente	Roque	'Rocky'	263
8/28/2018	REP	Republican	USS	United States Senator	HEN	Hendry			10	10	De La Fuente	Roque	'Rocky'	201
8/28/2018	REP	Republican	USS	United States Senator	HER	Hernando			64	64	De La Fuente	Roque	'Rocky'	2651
8/28/2018	REP	Republican	USS	United States Senator	HIG	Highlands			25	25	De La Fuente	Roque	'Rocky'	1086
8/28/2018	REP	Republican	USS	United States Senator	HIL	Hillsborough			390	390	De La Fuente	Roque	'Rocky'	10073
8/28/2018	REP	Republican	USS	United States Senator	HOL	Holmes			0	0	De La Fuente	Roque	'Rocky'	397
8/28/2018	REP	Republican	USS	United States Senator	IND	Indian River			36	36	De La Fuente	Roque	'Rocky'	2414
8/28/2018	REP	Republican	USS	United States Senator	JAC	Jackson			14	14	De La Fuente	Roque	'Rocky'	336
8/28/2018	REP	Republican	USS	United States Senator	JEF	Jefferson			0	0	De La Fuente	Roque	'Rocky'	224
8/28/2018	REP	Republican	USS	United States Senator	LAF	Lafayette			5	5	De La Fuente	Roque	'Rocky'	63
8/28/2018	REP	Republican	USS	United States Senator	LAK	Lake			102	102	De La Fuente	Roque	'Rocky'	3602
8/28/2018	REP	Republican	USS	United States Senator	LEE	Lee			127	127	De La Fuente	Roque	'Rocky'	8103
8/28/2018	REP	Republican	USS	United States Senator	LEO	Leon			155	155	De La Fuente	Roque	'Rocky'	3456
8/28/2018	REP	Republican	USS	United States Senator	LEV	Levy			13	13	De La Fuente	Roque	'Rocky'	810
8/28/2018	REP	Republican	USS	United States Senator	LIB	Liberty			0	0	De La Fuente	Roque	'Rocky'	58
8/28/2018	REP	Republican	USS	United States Senator	MAD	Madison			11	11	De La Fuente	Roque	'Rocky'	140
8/28/2018	REP	Republican	USS	United States Senator	MAN	Manatee			70	70	De La Fuente	Roque	'Rocky'	4712
8/28/2018	REP	Republican	USS	United States Senator	MRN	Marion			125	125	De La Fuente	Roque	'Rocky'	4724
8/28/2018	REP	Republican	USS	United States Senator	MRT	Martin			0	0	De La Fuente	Roque	'Rocky'	4907
8/28/2018	REP	Republican	USS	United States Senator	DAD	Miami-Dade			0	0	De La Fuente	Roque	'Rocky'	12386
8/28/2018	REP	Republican	USS	United States Senator	MON	Monroe			33	33	De La Fuente	Roque	'Rocky'	1196
8/28/2018	REP	Republican	USS	United States Senator	NAS	Nassau			0	0	De La Fuente	Roque	'Rocky'	1528
8/28/2018	REP	Republican	USS	United States Senator	OKA	Okaloosa			52	52	De La Fuente	Roque	'Rocky'	3146
8/28/2018	REP	Republican	USS	United States Senator	OKE	Okeechobee			0	0	De La Fuente	Roque	'Rocky'	438
8/28/2018	REP	Republican	USS	United States Senator	ORA	Orange			0	0	De La Fuente	Roque	'Rocky'	7999
8/28/2018	REP	Republican	USS	United States Senator	OSC	Osceola			87	87	De La Fuente	Roque	'Rocky'	1399
8/28/2018	REP	Republican	USS	United States Senator	PAL	Palm Beach			871	871	De La Fuente	Roque	'Rocky'	8633
8/28/2018	REP	Republican	USS	United States Senator	PAS	Pasco			110	110	De La Fuente	Roque	'Rocky'	5356
8/28/2018	REP	Republican	USS	United States Senator	PIN	Pinellas			299	299	De La Fuente	Roque	'Rocky'	12525
8/28/2018	REP	Republican	USS	United States Senator	POL	Polk			167	167	De La Fuente	Roque	'Rocky'	5508
8/28/2018	REP	Republican	USS	United States Senator	PUT	Putnam			0	0	De La Fuente	Roque	'Rocky'	707
8/28/2018	REP	Republican	USS	United States Senator	SAN	Santa Rosa			0	0	De La Fuente	Roque	'Rocky'	3711
8/28/2018	REP	Republican	USS	United States Senator	SAR	Sarasota			101	101	De La Fuente	Roque	'Rocky'	6680
8/28/2018	REP	Republican	USS	United States Senator	SEM	Seminole			81	81	De La Fuente	Roque	'Rocky'	4312
8/28/2018	REP	Republican	USS	United States Senator	STJ	St. Johns			0	0	De La Fuente	Roque	'Rocky'	2730
8/28/2018	REP	Republican	USS	United States Senator	STL	St. Lucie			64	64	De La Fuente	Roque	'Rocky'	2917
8/28/2018	REP	Republican	USS	United States Senator	SUM	Sumter			26	26	De La Fuente	Roque	'Rocky'	1032
8/28/2018	REP	Republican	USS	United States Senator	SUW	Suwannee			16	16	De La Fuente	Roque	'Rocky'	531
8/28/2018	REP	Republican	USS	United States Senator	TAY	Taylor			14	14	De La Fuente	Roque	'Rocky'	224
8/28/2018	REP	Republican	USS	United States Senator	UNI	Union			8	8	De La Fuente	Roque	'Rocky'	178
8/28/2018	REP	Republican	USS	United States Senator	VOL	Volusia			125	125	De La Fuente	Roque	'Rocky'	4830
8/28/2018	REP	Republican	USS	United States Senator	WAK	Wakulla			0	0	De La Fuente	Roque	'Rocky'	465
8/28/2018	REP	Republican	USS	United States Senator	WAL	Walton			0	0	De La Fuente	Roque	'Rocky'	2232
8/28/2018	REP	Republican	USS	United States Senator	WAS	Washington			0	0	De La Fuente	Roque	'Rocky'	324
