State Legislative District,Office,Candidate,Party,Votes
House 1,Governor/Lieutenant Governor,,Write-in,6
House 1,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,63
House 1,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3784
House 1,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,124
House 1,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,10485
House 2,Governor/Lieutenant Governor,,Write-in,3
House 2,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,66
House 2,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4499
House 2,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,168
House 2,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7966
House 3,Governor/Lieutenant Governor,,Write-in,0
House 3,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,53
House 3,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3242
House 3,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,163
House 3,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,9230
House 4,Governor/Lieutenant Governor,,Write-in,1
House 4,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,36
House 4,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,1795
House 4,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,96
House 4,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,11687
House 5,Governor/Lieutenant Governor,,Write-in,4
House 5,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,49
House 5,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3389
House 5,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,151
House 5,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,9586
House 6,Governor/Lieutenant Governor,,Write-in,5
House 6,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,54
House 6,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,5004
House 6,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,223
House 6,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7561
House 7,Governor/Lieutenant Governor,,Write-in,0
House 7,Governor/Lieutenant Governor,CWP,Gary Siegwarth,26
House 7,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,48
House 7,Governor/Lieutenant Governor,DEM,Fred Hubbell,1383
House 7,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,2826
House 7,Governor/Lieutenant Governor,LIB,Jake Porter,62
House 7,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,105
House 7,Governor/Lieutenant Governor,REP,Kim Reynolds,2298
House 7,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,3960
House 8,Governor/Lieutenant Governor,,Write-in,1
House 8,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,21
House 8,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,1496
House 8,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,63
House 8,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,3305
House 9,Governor/Lieutenant Governor,,Write-in,2
House 9,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,51
House 9,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,5012
House 9,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,160
House 9,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,5672
House 10,Governor/Lieutenant Governor,,Write-in,4
House 10,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,58
House 10,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4093
House 10,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,268
House 10,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,8577
House 11,Governor/Lieutenant Governor,,Write-in,1
House 11,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,52
House 11,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,2776
House 11,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,107
House 11,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,4631
House 12,Governor/Lieutenant Governor,,Write-in,0
House 12,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,20
House 12,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,1258
House 12,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,51
House 12,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,2236
House 13,Governor/Lieutenant Governor,,Write-in,2
House 13,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,49
House 13,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4397
House 13,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,169
House 13,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,4740
House 14,Governor/Lieutenant Governor,,Write-in,6
House 14,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,29
House 14,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4445
House 14,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,169
House 14,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,4120
House 15,Governor/Lieutenant Governor,,Write-in,6
House 15,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,65
House 15,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4031
House 15,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,219
House 15,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,3975
House 16,Governor/Lieutenant Governor,,Write-in,3
House 16,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,58
House 16,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4768
House 16,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,232
House 16,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,5010
House 17,Governor/Lieutenant Governor,,Write-in,1
House 17,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,57
House 17,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,2420
House 17,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,124
House 17,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,6055
House 18,Governor/Lieutenant Governor,,Write-in,3
House 18,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,53
House 18,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3406
House 18,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,147
House 18,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7487
House 19,Governor/Lieutenant Governor,,Write-in,13
House 19,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,66
House 19,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,7943
House 19,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,303
House 19,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,10751
House 20,Governor/Lieutenant Governor,,Write-in,3
House 20,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,33
House 20,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3084
House 20,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,116
House 20,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,3676
House 21,Governor/Lieutenant Governor,,Write-in,3
House 21,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,61
House 21,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,4212
House 21,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,206
House 21,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7959
House 22,Governor/Lieutenant Governor,,Write-in,9
House 22,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,52
House 22,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,5203
House 22,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,191
House 22,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,9534
House 23,Governor/Lieutenant Governor,,Write-in,3
