State Legislative District,Office,Party,Candidate,Votes
House 3,Governor,DEM,Tom Wolf,2266
House 3,Governor,GRN,Paul Glover,25
House 3,Governor,LIB,Ken Krawchuk,43
House 3,Governor,REP,Scott R. Wagner,1400
House 4,Governor,DEM,Tom Wolf,2940
House 4,Governor,GRN,Paul Glover,53
House 4,Governor,LIB,Ken Krawchuk,80
House 4,Governor,REP,Scott R. Wagner,3889
House 6,Governor,,Write-ins,10
House 6,Governor,DEM,TOM WOLF/JOHN FETTERMAN,7705
House 6,Governor,DEM,Tom Wolf,318
House 6,Governor,GRN,PAUL GLOVER/JOCOLYN BOWER-BOSTICK,135
House 6,Governor,GRN,Paul Glover,6
House 6,Governor,LIB,KEN V. KRAWCHUK/K. S. SMITH,216
House 6,Governor,LIB,Ken Krawchuk,6
House 6,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,9838
House 6,Governor,REP,Scott R. Wagner,402
House 7,Governor,,Write-ins,12
House 7,Governor,DEM,WOLF / FETTERMAN,11490
House 7,Governor,GRN,GLOVER / BOWSER-BOSTICK,147
House 7,Governor,LIB,KRAWCHUK / SMITH,173
House 7,Governor,REP,WAGNER / BARTOS,9470
House 8,Governor,,Write-ins,7
House 8,Governor,DEM,WOLF / FETTERMAN,4386
House 8,Governor,GRN,GLOVER / BOWSER-BOSTICK,84
House 8,Governor,LIB,KRAWCHUK / SMITH,173
House 8,Governor,REP,WAGNER / BARTOS,8348
House 13,Governor,,Write-ins,0
House 13,Governor,DEM,TOM WOLF,426
House 13,Governor,GRN,PAUL GLOVER,3
House 13,Governor,LIB,KEN V KRAWCHUK,6
House 13,Governor,REP,SCOTT R WAGNER,402
House 15,Governor,,Write-ins,8
House 15,Governor,DEM,Tom Wolf,3180
House 15,Governor,GRN,Paul Glover,74
House 15,Governor,LIB,Ken V. Krawchuk,121
House 15,Governor,REP,Scott R. Wagner,5548
House 17,Governor,,Write-ins,9
House 17,Governor,DEM,TOM WOLF/JOHN FETTERMAN,2890
House 17,Governor,DEM,WOLF / FETTERMAN,2324
House 17,Governor,GRN,GLOVER / BOWSER-BOSTICK,45
House 17,Governor,GRN,PAUL GLOVER/JOCOLYN BOWER-BOSTICK,47
House 17,Governor,LIB,KEN V. KRAWCHUK/K. S. SMITH,81
House 17,Governor,LIB,KRAWCHUK / SMITH,67
House 17,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,5032
House 17,Governor,REP,WAGNER / BARTOS,4393
House 18,Governor,Democratic,Wolf, Tom,14108
House 18,Governor,Green,Glover, Paul,99
House 18,Governor,Libertarian,Krawchuk, Ken V.,179
House 18,Governor,Republican,Wagner, Scott R.,8405
House 19,Governor,,WRITE-IN,6
House 19,Governor,Dem,Tom Wolf,3461
House 19,Governor,Grn,Paul Glover,29
House 19,Governor,Lib,Ken V. Krawchuk,37
House 19,Governor,Rep,Scott R. Wagner,783
House 20,Governor,,WRITE-IN,36
House 20,Governor,Dem,Tom Wolf,28044
House 20,Governor,Grn,Paul Glover,184
House 20,Governor,Lib,Ken V. Krawchuk,438
House 20,Governor,Rep,Scott R. Wagner,10713
House 21,Governor,,WRITE-IN,32
House 21,Governor,Dem,Tom Wolf,14495
House 21,Governor,Grn,Paul Glover,99
House 21,Governor,Lib,Ken V. Krawchuk,277
House 21,Governor,Rep,Scott R. Wagner,8696
House 22,Governor,Dem,Wolf / Fetterman,21066
House 22,Governor,GRN,Glover / Bowser-Bos,214
House 22,Governor,Lib,Krawchuk/ Smith,303
House 22,Governor,Rep,Wagner/ Bartos,6512
House 23,Governor,,WRITE-IN,0
House 23,Governor,Dem,Tom Wolf,215
House 23,Governor,Grn,Paul Glover,1
House 23,Governor,Lib,Ken V. Krawchuk,3
House 23,Governor,Rep,Scott R. Wagner,67
House 24,Governor,,WRITE-IN,15
House 24,Governor,Dem,Tom Wolf,16720
House 24,Governor,Grn,Paul Glover,119
House 24,Governor,Lib,Ken V. Krawchuk,138
House 24,Governor,Rep,Scott R. Wagner,1757
House 26,Governor,,Write-ins,6
House 26,Governor,DEM,TOM WOLF,7549
House 26,Governor,DEM,TOM WOLF/JOHN FETTERMAN,1741
House 26,Governor,GRN,PAUL GLOVER,69
House 26,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,11
House 26,Governor,LIB,KEN V KRAWCHUK,185
House 26,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,32
House 26,Governor,REP,SCOTT R WAGNER,7118
House 26,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,427
House 27,Governor,,WRITE-IN,24
House 27,Governor,Dem,Tom Wolf,15766
House 27,Governor,Grn,Paul Glover,108
House 27,Governor,Lib,Ken V. Krawchuk,175
