State Legislative District,Office,Party,Candidate,Votes
House 1,Governor,,OVER VOTES,2
House 1,Governor,,UNDER VOTES,142
House 1,Governor,DEM,Lupe Valdez,11993
House 1,Governor,LIB,Mark Jay Tippetts,566
House 1,Governor,REP,Greg Abbott,40539
House 2,Governor,DEM,Lupe Valdez,10314
House 2,Governor,LIB,Mark Jay Tippetts,708
House 2,Governor,REP,Greg Abbott,47220
House 3,Governor,,Over Votes,1
House 3,Governor,,Under Votes,338
House 3,Governor,DEM,Lupe Valdez,14190
House 3,Governor,LIB,Mark Jay Tippetts,772
House 3,Governor,REP,Greg Abbott,49671
House 4,Governor,,OVER VOTES,2
House 4,Governor,,Over Votes,3
House 4,Governor,,UNDER VOTES,118
House 4,Governor,,Under Votes,217
House 4,Governor,DEM,Lupe Valdez,14158
House 4,Governor,LIB,Mark Jay Tippetts,814
House 4,Governor,REP,Greg Abbott,45952
House 5,Governor,,Cast Votes,8814
House 5,Governor,,Overvotes,0
House 5,Governor,,Undervotes,14
House 5,Governor,DEM,Lupe Valdez,17255
House 5,Governor,LIB,Mark Jay Tippetts,825
House 5,Governor,REP,Greg Abbott,55979
House 5,Governor,REP,Gregg Abbott,8777
House 6,Governor,DEM,Lupe Valdez,31629
House 6,Governor,LIB,Mark Jay Tippetts,1367
House 6,Governor,REP,Greg Abbott,80279
House 7,Governor,,Over Votes,0
House 7,Governor,,Under Votes,115
House 7,Governor,DEM,Lupe Valdez,2177
House 7,Governor,LIB,Mark Jay Tippetts,194
House 7,Governor,REP,Greg Abbott,11638
House 8,Governor,,OVER VOTES,0
House 8,Governor,,UNDER VOTES,71
House 8,Governor,DEM,Lupe Valdez,10026
House 8,Governor,LIB,Mark Jay Tippetts,535
House 8,Governor,REP,Greg Abbott,39369
House 9,Governor,,Greg Abbott,6132
House 9,Governor,,Lupe Valdez,1366
House 9,Governor,,Mark Jay Tippetts,44
House 9,Governor,,Over Votes,6
House 9,Governor,,Under Votes,268
House 9,Governor,DEM,Lupe Valdez,10343
House 9,Governor,LIB,Mark Jay Tippetts,450
House 9,Governor,REP,Greg Abbott,38282
House 10,Governor,,Over Votes,0
House 10,Governor,,Under Votes,46
House 10,Governor,DEM,Lupe Valdez,16637
House 10,Governor,LIB,Mark Jay Tippetts,1026
House 10,Governor,REP,Greg Abbott,46961
House 11,Governor,,Over Votes,4
House 11,Governor,,Under Votes,285
House 11,Governor,DEM,Lupe Valdez,13014
House 11,Governor,LIB,Mark Jay Tippetts,565
House 11,Governor,REP,Greg Abbott,39218
House 12,Governor,,OVER VOTES,1
House 12,Governor,,Over Votes,0
House 12,Governor,,UNDER VOTES,124
House 12,Governor,,Under Votes,294
House 12,Governor,DEM,Lupe Valdez,14985
House 12,Governor,LIB,Mark Jay Tippetts,576
House 12,Governor,REP,Greg Abbott,33922
House 13,Governor,,Greg Abbott,6674
House 13,Governor,,Lupe Valdez,1855
House 13,Governor,,Mark Jay Tippetts,102
House 13,Governor,,OVER VOTES,2
House 13,Governor,,Over Votes,0
House 13,Governor,,UNDER VOTES,149
